student_id,name,email,phone,department,semester,attendance_percentage,cgpa,backlogs,fees_pending,fees_amount_due,quiz_score_avg,bot_engagement_score,counselling_sessions
S001,Rohan Das,rohan.das1@example.com,9876500001,ME,2,91.9,4.91,3,true,8000,74.7,29.0,4
S002,Priya Mehta,priya.mehta2@example.com,9876500002,ME,1,79.7,8.03,0,true,5000,56.0,55.0,3
S003,Aditya Rao,aditya.rao3@example.com,9876500003,CSE,7,80.8,9.07,0,false,0,55.9,27.7,2
S004,Rohan Sharma,rohan.sharma4@example.com,9876500004,CE,3,61.0,9.09,0,false,0,62.8,72.3,4
S005,Aarav Das,aarav.das5@example.com,9876500005,EEE,7,41.4,5.29,0,true,5000,76.3,68.2,2
S006,Rahul Kaur,rahul.kaur6@example.com,9876500006,CSE,6,55.3,8.2,3,false,0,88.6,37.6,1
S007,Manav Sharma,manav.sharma7@example.com,9876500007,CE,4,75.8,4.57,4,false,0,80.2,66.2,2
S008,Diya Rao,diya.rao8@example.com,9876500008,CE,2,41.6,6.25,0,false,0,43.7,58.7,4
S009,Sneha Nair,sneha.nair9@example.com,9876500009,ECE,3,40.3,6.6,0,false,0,74.7,60.3,4
S010,Neeraj Rao,neeraj.rao10@example.com,9876500010,EEE,4,50.5,5.05,1,true,12000,67.4,26.3,0
S011,Manav Singh,manav.singh11@example.com,9876500011,ECE,5,75.8,6.15,0,true,8000,54.2,67.1,1
S012,Aditya Rao,aditya.rao12@example.com,9876500012,CE,7,71.5,6.74,3,false,0,59.9,51.1,1
S013,Isha Sharma,isha.sharma13@example.com,9876500013,CSE,3,40.7,7.2,1,true,15000,71.7,70.3,3
S014,Kriti Rao,kriti.rao14@example.com,9876500014,IT,2,84.3,7.17,2,false,0,50.8,29.1,0
S015,Aarav Das,aarav.das15@example.com,9876500015,EEE,4,51.6,6.82,0,true,15000,59.0,33.0,3
S016,Aditya Das,aditya.das16@example.com,9876500016,CE,7,47.7,6.21,2,false,0,80.6,51.9,1
S017,Isha Singh,isha.singh17@example.com,9876500017,CE,5,44.3,5.77,3,false,0,51.2,70.0,1
S018,Aarav Patel,aarav.patel18@example.com,9876500018,IT,3,88.7,6.94,0,false,0,43.0,71.5,3
S019,Rahul Das,rahul.das19@example.com,9876500019,IT,4,57.6,6.21,4,false,0,66.1,33.3,0
S020,Neeraj Kaur,neeraj.kaur20@example.com,9876500020,ECE,6,40.4,8.53,0,false,0,64.2,40.9,2
S021,Sneha Verma,sneha.verma21@example.com,9876500021,EEE,7,46.5,7.47,3,false,0,40.5,42.3,1
S022,Diya Rao,diya.rao22@example.com,9876500022,IT,2,94.7,5.58,1,true,5000,87.6,70.9,2
S023,Sneha Rao,sneha.rao23@example.com,9876500023,CSE,2,51.0,7.38,0,false,0,72.4,48.7,0
